delta,theta,alpha,beta,gamma
2.638990549636932e-05,2.9524692066626517e-05,3.7174061052739585e-05,8.402747164497495e-05,0.00017317885474500282
8.151914173812318e-06,8.20661604839919e-06,9.0083578695103e-06,1.3627286067568344e-05,2.5188492229508804e-05
2.752132639559982e-05,2.9946009560039498e-05,3.8760988486783246e-05,8.973785012865879e-05,0.00018885639700199583
3.168055110958925e-05,3.427553766125249e-05,4.220133553630569e-05,9.72642796745325e-05,0.0002090038456044677
3.158189888091533e-05,3.42293500600953e-05,4.2867997233129646e-05,9.927635432401792e-05,0.00021290382334040157
3.8115084599013386e-05,4.249243953408827e-05,5.309237716264872e-05,0.00011952053507441253,0.00024326185352025186
3.13071782889139e-05,3.5069418276600116e-05,4.5783670053809236e-05,0.00010904831098252336,0.00022090835945332845
3.638149194189756e-05,4.031040724879203e-05,5.1926258804276956e-05,0.00012205734862973257,0.0002541705825404215
3.583364881935559e-05,4.1318314043286655e-05,5.5156069016330335e-05,0.0001353164939605845,0.0002798735212594409
3.613146845483623e-05,4.102940085148034e-05,5.457950710133913e-05,0.00013744591476052217,0.00028842910897799117
3.4174867913323914e-05,3.872802122793989e-05,5.1827246380275824e-05,0.00012570490684007222,0.00025829776397451554
2.853747092137475e-05,3.153799054183258e-05,3.8891573232027584e-05,8.809882938551535e-05,0.00017994431950166782
2.9234026636467573e-05,3.091834638367318e-05,3.79899730701214e-05,8.376320651837752e-05,0.00018426915462829734
2.829533274909887e-05,3.0297163899610743e-05,3.693083952761326e-05,8.293724452142617e-05,0.0001784514562505015
2.6098967549319327e-05,2.8191460670280173e-05,3.5523739788068016e-05,8.103219857958053e-05,0.00017043787969782208
2.6637644143389364e-05,2.8888738162198136e-05,3.6032025320545394e-05,8.484777554299766e-05,0.000185430286377137
2.3397834821615302e-05,2.5835888308866585e-05,3.299863653112199e-05,7.83987286407155e-05,0.00016429995044102958
2.6555653452672004e-05,2.8829591531790494e-05,3.5867781229314056e-05,8.608899193557936e-05,0.0001840459330350012
2.886021376557951e-05,3.114244941813234e-05,3.7977535177904264e-05,8.59378116337828e-05,0.00018473897349335515
2.8365245635341403e-05,3.105730979539447e-05,3.8983210264622e-05,9.116895187951325e-05,0.00019094539295966127
3.064953057632192e-05,3.343995525697706e-05,4.182454672004382e-05,9.697991254564202e-05,0.0002054316132736664
3.593337103345983e-05,3.868093927081962e-05,4.7099844083726184e-05,0.00011335329395961546,0.0002445537738791082
2.9600810361655262e-05,3.3998099894974564e-05,4.494722907770811e-05,0.00010858331512040044,0.00022656032320236065
3.691471180397095e-05,3.963682330005496e-05,4.8857034157113434e-05,0.00012040865145080292,0.0002733279828657884
4.058783826415337e-05,4.3864598161076035e-05,5.458229903663836e-05,0.00013021689665025302,0.00028967855062734415
4.2443090616101584e-05,4.8484744015167074e-05,6.47426805959859e-05,0.0001666538361536268,0.0003533590412320057
4.6586831955779934e-05,5.03979252553086e-05,6.279140807106015e-05,0.00015015991006579236,0.0003379227579408797
3.631688180145011e-05,3.858303160079527e-05,4.5849711235566306e-05,0.00010258868815128624,0.00022330685404364794
3.426146833018808e-05,3.845161347371516e-05,4.960880664315165e-05,0.00011349211571141604,0.00023538434696772684
3.169891117541099e-05,3.447985474780922e-05,4.362425015067651e-05,0.00010302404655028714,0.00022028923344771025
3.088456216124914e-05,3.2637048927148506e-05,3.97664000668659e-05,8.712191539830511e-05,0.0001897582110056717
2.9491167713093568e-05,3.185007036882367e-05,3.940962166694075e-05,8.971695593679213e-05,0.00018786544602058803
3.0015779763899005e-05,3.137782459133121e-05,3.672014250345904e-05,7.999128102438227e-05,0.00017966917091203868
2.8313815670845118e-05,3.0077785754628965e-05,3.616028711410639e-05,8.039961446003618e-05,0.0001695347923489971
2.673613396212405e-05,2.828486574148903e-05,3.385068776610854e-05,7.165391306512232e-05,0.00015314395007457737
2.8795773735620355e-05,3.0761976378232204e-05,3.626785084233478e-05,7.65651030069895e-05,0.00016309810785832283
2.7998091907157596e-05,2.925920493037128e-05,3.402053183999964e-05,6.912683033703709e-05,0.0001498841881067562
3.1702878026735075e-05,3.3420809163020694e-05,3.8744287054925207e-05,8.202920331093277e-05,0.00017666845995171565
2.601297713767439e-05,2.8290570298609327e-05,3.533218320615036e-05,8.061896721004492e-05,0.000168158459600679
2.4646176506305815e-05,2.712181942638061e-05,3.4147304550792934e-05,7.718668378349223e-05,0.00016544792285079176
2.7868480418149816e-05,3.007002606624374e-05,3.748324499654038e-05,8.083290243513658e-05,0.00016865139027085456
3.258572079589583e-05,3.6051161353707845e-05,4.576254105764023e-05,0.00010161924944050893,0.00021124716005052838
2.9804266078570047e-05,3.257760878978084e-05,4.0965816413924006e-05,9.513295284477022e-05,0.00020007802928400937
2.7985822486047803e-05,3.019270762035294e-05,3.676101824469359e-05,8.317572339093568e-05,0.000181079922915407
2.701711691138713e-05,2.888047325828812e-05,3.428941225522374e-05,7.50294831082915e-05,0.00015816930105802242
2.628810048734398e-05,2.8517436765550222e-05,3.582121429755603e-05,8.176584067384327e-05,0.00017222938786256277
2.687994778633967e-05,2.8615706936327256e-05,3.348924821828507e-05,7.440516247670179e-05,0.000165470953741188
2.8722883758729416e-05,3.088641692262911e-05,3.765072890241501e-05,8.518914541740655e-05,0.00018237094915969686
2.8708412160976058e-05,3.032753849679792e-05,3.597595085165902e-05,7.888056380241479e-05,0.0001691116576502895
2.4161827153439727e-05,2.67203700862653e-05,3.36072765371685e-05,8.089237724209584e-05,0.00017699511035693867
2.624404826423805e-05,2.78644024902767e-05,3.360491874875771e-05,7.653514662509959e-05,0.00016434303095508798
3.1160646950985534e-05,3.270684412843645e-05,3.794229009330382e-05,7.847032515875719e-05,0.00017392835776289085
2.5504129528588225e-05,2.7322865965993293e-05,3.4142909628805045e-05,7.981536228900269e-05,0.00017148978795143417
2.7438514328430388e-05,2.9732791100556017e-05,3.63106308316352e-05,8.158357394655496e-05,0.00017751908571168984
2.8469275528034688e-05,3.0731881060834365e-05,3.784117451061884e-05,8.55381557615518e-05,0.0001814740437461075
3.041309083499372e-05,3.368123974898418e-05,4.214520186161238e-05,0.00010390102600128036,0.00022265774674746244
2.807893101105685e-05,3.056695664368181e-05,3.7248363561077395e-05,8.095222857937469e-05,0.00016976744526764229
2.60441132674205e-05,2.8177187034635627e-05,3.493888840670837e-05,7.943687365343996e-05,0.00017020539370401992
2.531457383709272e-05,2.696570323341339e-05,3.267065684232146e-05,7.276936427709932e-05,0.00015988685853177308
2.8883360840424893e-05,3.069666662615454e-05,3.7143720845107075e-05,8.096557346400338e-05,0.00017538508748383887
