delta,theta,alpha,beta,gamma
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.07313177255566686,0.00674248661770964,0.0019954051054279463,0.0004915809584124049,0.00013868379388159654
0.005553629114628698,0.0027740694307305824,0.0022289920566869845,0.0015500769607723964,0.0012554976049988027
0.004424018095660833,0.002742655485455103,0.0021423785257591184,0.0015722658226675844,0.001248864861883286
0.006945271295823389,0.0029670615586878516,0.0022329396292282548,0.0016421975675055944,0.0013986701532572505
0.006278355975425683,0.003011002692435426,0.0023321591589876667,0.0015854810836323232,0.0012783231855123447
0.005565546046262819,0.0027300064534971306,0.002110939570406396,0.001546997756179728,0.001242796053535502
0.00516228200904274,0.0025475316771813817,0.002041746001835736,0.0015056844884043037,0.0011809978236180091
0.007933221957234613,0.00422349204087549,0.0028389068994119798,0.001732856606656651,0.0013055480880387646
0.006256916650103494,0.00307022656452634,0.0023625719984816424,0.0016574077483955249,0.0013836794583367217
0.005492344320435821,0.002884105792525841,0.002261934503203559,0.0016136791874920174,0.0013150091522532803
0.00723824173693553,0.0033458150255138933,0.002493348711259815,0.0017460147003336402,0.0014025037279799518
0.006520346130585271,0.003841320347826006,0.0026340758904720173,0.0016830448766483634,0.001299247496719781
0.004712322796386366,0.0029246361283729572,0.002229713784524669,0.0015224899691891386,0.0012553731364683385
0.006491741709274763,0.004025440169320884,0.002832736873866481,0.00178201423538746,0.0013443474649331565
0.005757336119423575,0.003705425216731209,0.0026191964262156308,0.0016891269208751546,0.0013219413656133557
0.005506848245196609,0.003210298185261729,0.002434778583687051,0.0016443544935199192,0.0013167911317035546
0.005035657111941585,0.0030618372166619267,0.002300096281080296,0.0015880990615280996,0.0012866716221550838
0.006815015154760054,0.003892563461534026,0.002630008865036635,0.0016807624500012786,0.0013647774404087205
0.007243197757387076,0.0038058209619264735,0.0025189354869092173,0.001697244386112397,0.0013638738287864909
0.007502066239678092,0.004118337979670811,0.0028779018921650024,0.0017853250604608739,0.0013570095504893583
0.007300530368746029,0.0038780275885581333,0.0025911483784947244,0.0016379488969257986,0.0012859192136276515
0.007434027004899678,0.0047766505142834885,0.003082413541966576,0.001815115043335334,0.0013967052767777642
0.006728376098751333,0.003733182397882098,0.002503750507967093,0.0016239565084659163,0.001309039001444355
0.005927171631718444,0.002782758484758527,0.002224197451771719,0.0015704941504246692,0.0012613146815725691
0.006399781863792135,0.0027765565289802688,0.0021762517743059537,0.0015353813169381731,0.0012716909897890563
0.005512034803252808,0.00301440378498096,0.0022983623877275527,0.0015983193601862217,0.0012893734934936799
0.005393867823205831,0.0026220545542359384,0.0021092368308539876,0.0014817902019499368,0.0011959223785899331
0.006757329385256449,0.0030477416194689324,0.002177215901975555,0.001569530834094055,0.0012627416373938766
0.006226466620993013,0.0029694015608140866,0.002164749672246525,0.0015257136437652446,0.0012509462217076485
0.005912440829762211,0.0032915737672712434,0.002434197392767488,0.001559606488403316,0.0012607088211102906
0.00527217815863661,0.002609035316759677,0.0020106565756692965,0.0014703702287915872,0.0012018296526489503
0.00624840795173982,0.0030250570568169876,0.0022049677231833348,0.0015942831859286472,0.0012824214935276373
0.006771088750779173,0.004263653114363224,0.0029284285527083134,0.0017757629409796414,0.0014047367423702356
0.007757682296821702,0.0035132164372275528,0.002510241301067762,0.0017490783516974366,0.0013127491794905153
0.005603964012243795,0.002634787983392601,0.002023157088932431,0.0014534700073559306,0.0012157152028974083
0.007233313882298173,0.0034664784792134543,0.0025936877849905777,0.0017662198815954174,0.0014875414256683998
0.006935965460763891,0.003100307455492469,0.0022671802613162435,0.0015287793416212216,0.0012120768722573348
0.007127205635717245,0.0040914312757648974,0.0027060233898453774,0.001726914945917455,0.001444461924953603
0.008093286447946012,0.0031653441836486658,0.002184997163790447,0.0015313662539856946,0.0012302081584352224
0.008813888032717548,0.00388319837478574,0.002683223523076584,0.0017744872900256623,0.001401162096848187
0.008408664958660286,0.0035433300626509182,0.0023260791503288913,0.0015378433485953135,0.0011975986349383844
0.00572665768216359,0.0034254937679426747,0.0024243581124688807,0.0016372413191975816,0.0013181326541187436
0.005840902323568456,0.0030663887897470006,0.002290281408150758,0.0016027146617177638,0.001309414168406296
0.0060292400438199814,0.0031516523548250786,0.002248907484134664,0.0015550721982452314,0.0012434526646030522
0.005713312319988973,0.002870949373813421,0.0022086811646386266,0.0015490136836406293,0.0012378834757263933
