delta,theta,alpha,beta,gamma
0.005939298212839992,0.0029018104525139173,0.002258354764519933,0.0016400289512353045,0.0012639045557566466
0.005395228840159103,0.00273949838556023,0.0021176202764956716,0.0013967400253494385,0.0010453733121842208
0.009345401692240277,0.006057452384321308,0.003878174762423627,0.0020037521476248803,0.001421194164157177
0.005955227484833287,0.003455243607960326,0.0022812936756742585,0.001391932567545798,0.001097325848810266
0.0054538940584039665,0.0026414686353735395,0.0020101086647717247,0.001423428464829082,0.0010985349728444601
0.00581950979784796,0.0034188982229116397,0.002509882400077368,0.0014827126158639436,0.0011209516274308694
0.004997136586807484,0.0029617859286241994,0.0022134413517002033,0.001462853036600424,0.0011482709257402133
0.006651648133058995,0.004170343557953175,0.002778274476802124,0.0016367230642908574,0.0012315056279478156
0.00578691226125039,0.002735906375040803,0.002017516275427312,0.001444722759097748,0.0011887877497939964
0.0059703186689445435,0.0032036828572367827,0.002432615477038666,0.001580195040300123,0.0011293677762468789
0.006376904048058938,0.00353286115741516,0.0027151722108917607,0.0017123551527811528,0.00122008840136155
0.010171790519385453,0.005835298969681513,0.0037523557075670308,0.001921259605006341,0.0012472761874124955
0.008111847858941047,0.004867361269564213,0.003193274236478543,0.0017113962118996782,0.0012132563120177949
0.007704671889852937,0.0049424034433902175,0.0033383952407803797,0.0017321274568565547,0.0011524274250423795
0.0019615401034834656,0.001213349468632657,0.0011788550896442952,0.0007908531655053513,0.0005976141558427081
0.005053446087220413,0.0026566129605265134,0.0021401014422633645,0.0014801548648840782,0.0011518258053055783
0.008279440305553798,0.004905545815936798,0.003291430146485431,0.001723726985258807,0.001133267599754559
0.007149571958066391,0.004452484745756041,0.0030736814187337508,0.0016638284077200587,0.001157095325940299
0.004970418163558978,0.0028705964188371746,0.002154445842357009,0.0013196005304709551,0.0009936664842818367
0.005894041087550792,0.0028425549481496263,0.0022031863824934395,0.001408871223913934,0.0010600449608229871
0.0019089269429439335,0.0012222058392407076,0.0012064037412698114,0.0008174902260959402,0.0006092975584616858
0.005159125218196824,0.002389680099946656,0.0018521583261377054,0.0013393054498913172,0.001054788859788751
0.007705100757852273,0.0038772611051352285,0.002728882155479966,0.0015690906043166056,0.0011593278823099173
0.00488122074556828,0.0025713748565740517,0.002047623046896422,0.0013919718937801427,0.0011323000727418
0.005311701109831788,0.0027086283263669264,0.0021521351470015853,0.0014983681109324402,0.0011685028449964121
0.004382751061257257,0.002597719985392945,0.0020482736222606967,0.0013976524144133032,0.0011029371564803645
0.00808667450976233,0.005043523804489182,0.003406731337721607,0.0018216717000381054,0.0012238766127583563
0.006422935763738563,0.0037226738887342443,0.002586827747220964,0.001521834925566816,0.0010850449438433677
0.00492170334982082,0.002580609819257964,0.002013714941093253,0.001341549167268447,0.0010181463692602768
0.004854428763220763,0.002643778738478544,0.002027541201954042,0.00133786000431188,0.0010365573565172125
0.007515754146313819,0.00411390737447659,0.002754522657776904,0.0015684643670644328,0.0011294706525892372
0.005846362333544162,0.003092098061514652,0.0022463452304065886,0.0014612121804887712,0.0011244251173902113
0.0055087296373262234,0.0028271294468299704,0.0020628955964054293,0.0014420478264114734,0.0011176400745601196
0.008639171952472022,0.005359800373543153,0.00316678128948701,0.0016612761256943665,0.0012263820620928914
0.004812429608574446,0.002521369175854641,0.0019902197205746196,0.0014145466793651668,0.0011133024271967743
0.007252944802011681,0.004555296969968986,0.003002389937013134,0.001639557580090747,0.001116043100999289
0.006229744139080594,0.0031823201491814872,0.0023487625693802898,0.0015030708911891579,0.0011426452219226416
0.0056190827875196745,0.0030611024781285554,0.0023525959992611485,0.0015523484362299884,0.0011810240530800771
0.006238075165394293,0.0030222106941951736,0.0022512151635970894,0.0014689516788691718,0.0011102509864688674
0.008876098409788155,0.004190221802298633,0.002689723665549292,0.0015875288366845083,0.0011910961464471459
0.00643025186772464,0.002965733718324688,0.0021859306698096184,0.0014659776042575535,0.0011089801119006718
0.007688819425959838,0.004373483398019294,0.002881788192791105,0.0016357581354735746,0.001196204253025123
0.007916645192661734,0.004824781379269745,0.003150023282519918,0.0017500132524901001,0.001254164873323876
0.005117603633102378,0.0029552803231088637,0.0022442115724536312,0.0013916978772071683,0.001035057721695267
