delta,theta,alpha,beta,gamma
1.8286381105335357e-05,1.868724059232791e-05,2.026978724870091e-05,3.131762043858555e-05,6.555581676167997e-05
7.478411308059882e-06,7.65440090735148e-06,8.478238140543164e-06,1.3084834178463632e-05,2.4737856152090517e-05
1.8706974643307457e-05,1.908580291006982e-05,2.068702437726242e-05,3.2696552347570934e-05,7.446652723654917e-05
1.8226521266033282e-05,1.8641470511538253e-05,2.003335661091774e-05,3.153271114804077e-05,6.679326953447038e-05
1.8048557497265238e-05,1.8356426179216085e-05,1.9665285374520932e-05,2.988785578483971e-05,6.252222898009554e-05
1.888883456610328e-05,1.9285325764476964e-05,2.0730005175258337e-05,3.257042676499494e-05,6.869993597201323e-05
1.59014786097786e-05,1.631813050353754e-05,1.7759909025269334e-05,2.9873903638049774e-05,6.617217592600066e-05
2.2702045890700257e-05,2.3746229575136665e-05,2.608341300459356e-05,4.305601966522323e-05,9.534432491182763e-05
1.8631615931594886e-05,1.9377297736275648e-05,2.118008017937649e-05,3.4910830233062064e-05,7.939306577224925e-05
1.8237050358140457e-05,1.8743134909734795e-05,2.0354910421110684e-05,3.161297625349993e-05,6.934843600069132e-05
1.676255991017446e-05,1.7145131587099716e-05,1.8687812288369938e-05,2.8682360032360347e-05,6.184584976803655e-05
1.8057377721270142e-05,1.8511818520313583e-05,1.9854416620729902e-05,3.11756783915783e-05,6.667488013699709e-05
1.7441898792077522e-05,1.8080947970020583e-05,1.999038219500883e-05,3.298299235348457e-05,7.536520391641824e-05
1.717354644265516e-05,1.763026211018811e-05,1.8984204717246847e-05,2.9922609467021714e-05,6.582338951253861e-05
1.8066677944167143e-05,1.8451872906183222e-05,1.975301300183722e-05,2.950579392209605e-05,6.096687152814058e-05
1.9675030614764617e-05,2.000896835917061e-05,2.1583021012519395e-05,3.259933651320643e-05,6.657854779281306e-05
2.3180494532693664e-05,2.3784655127071266e-05,2.5432520368064183e-05,3.751918102335392e-05,7.841550501906915e-05
1.991379125185828e-05,2.0326048953050382e-05,2.18549620415741e-05,3.4320889248400315e-05,7.392712430491601e-05
2.1501737271133473e-05,2.207706383169975e-05,2.4092378985105447e-05,3.721460652860837e-05,8.031917425599143e-05
2.0059064586316e-05,2.0425780343231793e-05,2.169004857024292e-05,3.333585315528338e-05,7.104953732814284e-05
1.9926208020990863e-05,2.035047587636016e-05,2.2276246399986082e-05,3.498329633911797e-05,7.510840874974815e-05
1.8468355512668024e-05,1.9122637104687506e-05,2.0734261029150723e-05,3.39721858746308e-05,7.728925968060364e-05
1.9269145939410992e-05,1.9542281673376447e-05,2.133423935257642e-05,3.3277148342706154e-05,7.241529213248807e-05
2.264788554025974e-05,2.287585501071104e-05,2.469183532427595e-05,3.692556090930496e-05,7.778303613956946e-05
2.0530992467703183e-05,2.1004045151261667e-05,2.2318161769436197e-05,3.413848234847167e-05,7.257796326099582e-05
1.956781435870756e-05,2.0128640148379978e-05,2.1822464677060534e-05,3.447045779799544e-05,7.563224864885297e-05
1.9810515077845144e-05,2.032645940412142e-05,2.20816253851511e-05,3.500908044245533e-05,7.966972204798073e-05
1.983394212928663e-05,2.081238232759343e-05,2.3040692852915502e-05,3.5813675654535796e-05,7.686431604565075e-05
1.843986631144193e-05,1.887110146268828e-05,2.0207783477077345e-05,3.2503420613033684e-05,7.024631443713564e-05
1.8427930842781315e-05,1.8756249689722408e-05,2.026297922714718e-05,3.137285901585408e-05,6.67895196482059e-05
1.6492947443180033e-05,1.6960182561110486e-05,1.846149756258231e-05,3.0256972922841165e-05,6.873904190307764e-05
2.029951561728069e-05,2.0815531526887228e-05,2.2348665354022966e-05,3.484313307164644e-05,7.693362466501183e-05
2.205274546013274e-05,2.2431151406108187e-05,2.361627609210122e-05,3.4993717482715915e-05,6.980251834926398e-05
2.284192354562172e-05,2.324512356489154e-05,2.46674362544065e-05,3.613491050890838e-05,7.258677356360616e-05
2.1442368056033322e-05,2.186369624468509e-05,2.3427538635071998e-05,3.531444374800681e-05,7.436487217060136e-05
1.9021800613321407e-05,1.9695982386505823e-05,2.1005519672550807e-05,3.2164188432371065e-05,6.972671230565699e-05
1.9752285859024904e-05,2.0256882183221212e-05,2.174553699361793e-05,3.2903892259460584e-05,6.863872312935092e-05
2.1224408918597658e-05,2.191469718789281e-05,2.3248999106289012e-05,3.613578232370826e-05,7.9504564258458e-05
1.8469783382691777e-05,1.879627542675642e-05,2.0427362894445633e-05,3.071253400259092e-05,6.46430342230801e-05
2.1347834525613575e-05,2.1738356672285776e-05,2.3363337022904027e-05,3.521223821973999e-05,7.23229311606643e-05
1.994287330895511e-05,2.0357292860920565e-05,2.1790032402158674e-05,3.340327761655578e-05,7.033704010657167e-05
2.1048633291739256e-05,2.172939998043745e-05,2.3358801085465608e-05,3.5612341937257565e-05,7.584333063523345e-05
2.1780532625754843e-05,2.2291261713241462e-05,2.3937468968033977e-05,3.674636669751865e-05,7.793043753800131e-05
2.2386646228026578e-05,2.274061796682239e-05,2.4415826126472138e-05,3.749467103624925e-05,7.886042115106618e-05
2.4105326623851857e-05,2.44506649845287e-05,2.580596293173941e-05,3.8297814376046765e-05,8.203142172601992e-05
2.2036080854543147e-05,2.268907577300419e-05,2.4850079698494638e-05,3.878213575766758e-05,8.646707965134961e-05
2.066444735274307e-05,2.128090339108444e-05,2.317329339219979e-05,3.41822971910899e-05,7.347055286587184e-05
2.0561930592514582e-05,2.0953033925723464e-05,2.2358930034962727e-05,3.394404119568972e-05,7.164087424415657e-05
1.653703233951052e-05,1.7081325549449843e-05,1.843091587780636e-05,2.874425438801912e-05,6.140724173746925e-05
1.7669401706135356e-05,1.793574297498943e-05,1.947702275570783e-05,3.0001302774554865e-05,6.167743558708494e-05
2.1471353996607237e-05,2.1684800018775494e-05,2.3025208730275113e-05,3.348490532677954e-05,6.773488179343972e-05
2.0521204898258597e-05,2.0972084805069876e-05,2.220792181889512e-05,3.412326799918287e-05,7.155923954231915e-05
1.9610262674372396e-05,1.9976645561298855e-05,2.1515637328038153e-05,3.228062689658208e-05,7.099456567265137e-05
2.1409416672902136e-05,2.1690587286665416e-05,2.3247019803078664e-05,3.480770098617198e-05,7.369404124075353e-05
2.0385206993032363e-05,2.076881100233296e-05,2.204893501847845e-05,3.393548379279361e-05,7.195441900759472e-05
2.4025675415246062e-05,2.4469134948881055e-05,2.630098863208175e-05,3.991024416353699e-05,8.905609792644641e-05
2.3255922983233876e-05,2.3790844853583984e-05,2.5392892792057135e-05,3.89610522367676e-05,8.570818808591316e-05
2.2176277050241858e-05,2.257275168721982e-05,2.384195130499299e-05,3.555397853209388e-05,7.538601666631598e-05
2.0856646703579236e-05,2.1569363888881195e-05,2.3185087398633353e-05,3.640091937823549e-05,8.033926863316087e-05
2.0822875392055436e-05,2.1557652250304013e-05,2.290423560872748e-05,3.477631650581622e-05,7.512988512254482e-05
