delta,theta,alpha,beta,gamma
0.004359654637575252,0.002553773569213892,0.0021330345130561763,0.0015488623316693303,0.0012377988055909872
0.0053947461165457025,0.002747971492440527,0.0021258141542569308,0.0014012317387580339,0.0010389329170874591
0.004510808122526994,0.002640040586279504,0.0021977991735400095,0.0015856671467181177,0.0012715918362274142
0.004381160791436563,0.0024503479714397883,0.0019938297194535123,0.0013928742891268098,0.0010652747001220516
0.004852127964071093,0.00272807720221035,0.002080290118136281,0.0014206301968849439,0.0010764355664752618
0.005249523647695416,0.0028245494795238143,0.0022281630289649685,0.0015817135501539343,0.0011890344755686043
0.0050460866867515376,0.0028318472484752046,0.002196673716543448,0.0014731571929993692,0.0011342737963310086
0.004050244310163817,0.002451983192392444,0.0019911518510677033,0.0014329804298104012,0.0011553915280000018
0.005109840381518555,0.002644109706972683,0.0020716719724786074,0.0014373905739980168,0.001095249670336199
0.005345548785464458,0.0026858439511408968,0.0021216920499077725,0.0014297769390345333,0.0010990817472155275
0.0049587100995886774,0.0026011268252088176,0.0020515386679989664,0.0014298369953559857,0.0011029954491486318
0.005374294367223001,0.0027468974463560106,0.002150770890252489,0.0014441081970696457,0.0010910278302459614
0.004786278242795411,0.002603312360339922,0.002069411682783931,0.0014532382136326794,0.0011310478714972635
0.00479870660843664,0.0025821038479313784,0.001997116630148308,0.001357332275087534,0.0010234065765796446
0.0018651793896872295,0.0012168937385961033,0.001128277028294148,0.0007840627227111268,0.0005943886838843252
0.00448708813131744,0.0024541150143498817,0.0020238939381348594,0.0013902712100952819,0.001058473968445137
0.005248224076536441,0.0025733099369652504,0.002057006135735474,0.0013823970055631628,0.0010575422866753684
0.0059770683311427784,0.003256527587741215,0.0022324051036437557,0.0014405224270527366,0.001099657302106082
0.0040886873876426035,0.0023371223012510966,0.0018560734030955628,0.00130712438661896,0.0010032917860978343
0.005077015372903039,0.0025447722819648064,0.0020197619828049396,0.0013560608488616922,0.0010371593943277581
0.0018668580758474601,0.00125915501735833,0.0011675822331194859,0.0007866129945351441,0.0006081328193812322
0.004157834974238725,0.002315087249626504,0.0018557434519324788,0.0013006272564252668,0.0010275802927628493
0.005824826163599669,0.002832401998372126,0.002107090529320241,0.001456997574122631,0.0010676277992243185
0.004009245658624458,0.0024054519208094993,0.0019574506011241395,0.0013015421792312526,0.000993010726458511
0.004127759459831141,0.0024401809131542485,0.001950986975774486,0.0014281897230552245,0.0011533832668056481
0.0034896691125263536,0.002280122626620319,0.0018913915196156206,0.00138070259894171,0.0011059104536522571
0.004414692607411211,0.002418728431171696,0.0019611080796975294,0.0014074831827316167,0.0011095525751602736
0.004817575246668759,0.002572603813401297,0.0020015893147128897,0.0013712694326052093,0.001049800463286075
0.004199402299942577,0.0024491782034611657,0.0019240138422375133,0.0013335350930249864,0.001009455109612275
0.004668395806970871,0.0025949245399773013,0.00201488311301101,0.0013524433358951227,0.0010183209906576877
0.00477384988067336,0.0026528167612353158,0.0020921191202059285,0.001443996528007026,0.0010891421836428437
0.004953788125366205,0.0026317408853849217,0.002038539582816172,0.001368915001308473,0.0010207458832154858
0.004572096022457626,0.002628541865728918,0.002052126079188422,0.0014263256494075282,0.0011004585115923942
0.003420705262890205,0.002218538001150224,0.0018708920842875466,0.0013946848676413548,0.0011191339897777517
0.0042367249805550155,0.0024860655671535754,0.0019917689805739576,0.0013941152319457502,0.0010711141894929218
0.0042361228464449134,0.002455539609674176,0.001987265370441278,0.001394443097596065,0.001078212974204096
0.004702693164429389,0.0026985794771876926,0.0021089928646836325,0.0014616120034697127,0.0011146755543478186
0.004236924282538265,0.002551156684460864,0.0020213432312374308,0.0014480009334356793,0.001144585880302586
0.0050445341048953474,0.00277626708541998,0.0020677384356188656,0.0014242706692306456,0.0010774619046414974
0.0050522547369063085,0.0026083240128948657,0.0020273022311231063,0.0013651767755555383,0.0010454239129496065
0.004599140956801267,0.0024524445783015085,0.001972675956401323,0.0013415496624409231,0.0010395568674334624
0.004705901794317502,0.0024848146335490332,0.0019794251454248054,0.0013694330771778114,0.0010529726606566384
0.004103448961317141,0.002362537723865152,0.0019388197142510024,0.0013987474739432825,0.001099621286357286
0.004232085855403643,0.002302797530753503,0.0018753682093816768,0.0012994535635172935,0.0010053670383252935
0.0042901277579439345,0.0024790364257027786,0.0019907664955339625,0.0014096690912926513,0.0011055510332608329
