delta,theta,alpha,beta,gamma
2.1000375166895192e-05,2.1578259491558567e-05,2.2945770725476812e-05,3.498617657063178e-05,7.170638626014016e-05
7.5795860568078505e-06,7.695363928607061e-06,8.645528243329713e-06,1.3346626977992343e-05,2.49218300237729e-05
2.2152917266384512e-05,2.2868806390389473e-05,2.5106550373221075e-05,4.027081210190998e-05,9.47663108006787e-05
1.6137374773928977e-05,1.6592786104039305e-05,1.8368692001262205e-05,3.0431352841142036e-05,6.764727703078138e-05
1.6727611547906432e-05,1.722498764565815e-05,1.8756100988546953e-05,2.9907393726902566e-05,6.53793845953038e-05
2.124730251735749e-05,2.150352000711045e-05,2.314850066640646e-05,3.5288459488603855e-05,7.813791744377407e-05
2.2246269540422327e-05,2.279716015409366e-05,2.453592822095362e-05,4.013345068152734e-05,8.883686360066696e-05
2.9945858055891197e-05,3.0652489655092755e-05,3.4447146421975684e-05,6.23980717580527e-05,0.00014877013723565397
2.348726721589932e-05,2.4017959618979742e-05,2.5906531970827583e-05,4.224056768430822e-05,9.516132734432442e-05
2.0516021635712815e-05,2.1096516971016396e-05,2.2777401593493085e-05,3.494999100693819e-05,7.40131248168106e-05
1.6316228965826307e-05,1.6691963378715706e-05,1.8201330526975612e-05,2.9406377737037324e-05,6.479300273586723e-05
2.3555844433184673e-05,2.4134068159813496e-05,2.6113390915148043e-05,4.168459307521512e-05,8.856235413972722e-05
1.9838594424158352e-05,2.0544666851232747e-05,2.296892886926794e-05,3.8150228559695854e-05,8.23805922887786e-05
2.0765558291842615e-05,2.128733721271753e-05,2.3509419765319687e-05,3.695217025896364e-05,7.922380275259625e-05
1.792820044797205e-05,1.8311116024939657e-05,1.9764966877604465e-05,3.062240042462673e-05,6.260998344908266e-05
2.0767170457235633e-05,2.1145182381853575e-05,2.251898865458252e-05,3.3801519488742615e-05,7.120943562665335e-05
2.331229211706483e-05,2.402460118365387e-05,2.5519542468863806e-05,3.847998047717152e-05,8.334228814083475e-05
2.7044510389544695e-05,2.7777544158425004e-05,3.066233117792641e-05,4.8792472313905566e-05,0.00011307668342416241
2.467733955938156e-05,2.532488600863434e-05,2.7728142634691218e-05,4.463312193653201e-05,9.637893814247158e-05
2.3992533774256633e-05,2.4458854269478143e-05,2.6088746972060105e-05,3.83814677566883e-05,7.737563582961659e-05
2.1402613871447462e-05,2.194633365184095e-05,2.3610429831114375e-05,3.6359753573921866e-05,7.832348606141367e-05
2.22166978662685e-05,2.282852467936764e-05,2.4723325597218333e-05,3.911335957743161e-05,8.386719691584012e-05
2.210174951925105e-05,2.2755233812000612e-05,2.4768674308091868e-05,3.9406336995813764e-05,8.416946256079334e-05
2.4978416484779082e-05,2.5544878080523187e-05,2.759550427082265e-05,4.276620963338692e-05,9.212421800618816e-05
2.2055379631339448e-05,2.263026422237674e-05,2.4144972231630992e-05,3.704855108762219e-05,7.879792062990635e-05
2.464909742902324e-05,2.5170503961750892e-05,2.695995964874767e-05,4.0957215377833204e-05,8.592829484123114e-05
2.123865348534415e-05,2.179724274941108e-05,2.4199053740655047e-05,4.196389734177641e-05,9.07137195927169e-05
2.1648705659667953e-05,2.2222069319442386e-05,2.482150144099645e-05,3.9710035549886396e-05,8.302482554745697e-05
2.6052328864050477e-05,2.676186784162987e-05,2.867410681058975e-05,4.79925398664598e-05,0.00010747839673858638
1.9036626159438256e-05,1.9567901231506965e-05,2.1135132730160183e-05,3.337837022469484e-05,7.219892927563899e-05
2.1177439591078708e-05,2.1804787217864422e-05,2.3298224511096637e-05,3.549821609286468e-05,7.318034917404038e-05
2.0988620107730277e-05,2.158337579606295e-05,2.3697444971078176e-05,3.902114900845596e-05,8.637550872450736e-05
2.0435909378060125e-05,2.0954953279496397e-05,2.2370728960519386e-05,3.390176167797228e-05,7.238123357720201e-05
2.5798311274890547e-05,2.6271718728984043e-05,2.8091998379597767e-05,4.08120462651872e-05,8.708557731062167e-05
2.0914784274352726e-05,2.141641765967987e-05,2.294381254604503e-05,3.659526162977258e-05,7.764891367563745e-05
2.360036294900972e-05,2.412574257636231e-05,2.5610580941877195e-05,3.760402708979193e-05,7.776457615036591e-05
2.003768683633504e-05,2.051771286862007e-05,2.2486433281546988e-05,3.477372592694917e-05,7.509119801617417e-05
2.4360766400182606e-05,2.483100711211387e-05,2.6525353687500265e-05,4.048787222872669e-05,8.57911597057848e-05
2.0283401251699665e-05,2.0750257845602125e-05,2.2393545280613828e-05,3.484986364891934e-05,7.421064675297631e-05
2.381083878765624e-05,2.429341602143715e-05,2.628251209667186e-05,3.9517961432682695e-05,8.119562453253536e-05
2.2433214116933382e-05,2.304928499259104e-05,2.4524172775146713e-05,3.59910788395118e-05,7.495030542606516e-05
2.1795440885715506e-05,2.2440439354446035e-05,2.4565180938202466e-05,3.806051864843644e-05,8.055523395222408e-05
2.16651055632366e-05,2.2161727934203336e-05,2.3854489729197417e-05,3.7153127241147145e-05,8.155839095642088e-05
2.458708509391734e-05,2.515695347820036e-05,2.7430302349272738e-05,4.6381319092028186e-05,0.0001051569903126095
2.52598553828169e-05,2.5614609850669417e-05,2.735681552607973e-05,4.128088083411707e-05,8.809355527661447e-05
3.5984138217886565e-05,3.64871103949095e-05,3.9166341252985773e-05,6.297770330405448e-05,0.00014389954670637647
2.5601856480205474e-05,2.6114400752478136e-05,2.7704470594673518e-05,4.282013111970989e-05,9.046033331903947e-05
2.30977770328712e-05,2.3622285424159685e-05,2.5257245709039163e-05,3.751831192000295e-05,7.78536205599545e-05
2.009989187844984e-05,2.059608384304431e-05,2.219756988891799e-05,3.7233059592210555e-05,8.282677389794765e-05
1.8602319264771683e-05,1.90785892343683e-05,2.0579943108452357e-05,3.242759923152915e-05,6.772782365578427e-05
1.960061616999466e-05,2.0216329257656886e-05,2.160539827995018e-05,3.380737850469175e-05,7.25872683522373e-05
2.288838682063426e-05,2.347419184768653e-05,2.471461145780656e-05,3.689802154507285e-05,7.7607302535681e-05
2.1131419214240512e-05,2.1742356376370986e-05,2.333441268983343e-05,3.6773729903126555e-05,7.804137559058742e-05
2.056331948349957e-05,2.111425284587663e-05,2.2831540685143774e-05,3.589698876759786e-05,7.643905279687294e-05
2.491134414589926e-05,2.5364236264100498e-05,2.71449683610828e-05,3.84516916047154e-05,7.747108958714851e-05
2.5543053418988094e-05,2.626904360683688e-05,2.8534033487615917e-05,4.665695975876572e-05,0.00010560848752169025
3.14853976562858e-05,3.245448418421001e-05,3.4633834806021035e-05,5.392030027460482e-05,0.00011206425165759868
2.2986685916794283e-05,2.3473639610191712e-05,2.5245722628603602e-05,3.7769547632448216e-05,8.053264631923897e-05
2.317554657780475e-05,2.3836602297829365e-05,2.591042589794336e-05,4.204396254484436e-05,9.127269204256696e-05
2.8004066747958148e-05,2.881747696201221e-05,3.067207949417219e-05,4.5797383251396394e-05,9.847750903105068e-05
