delta,theta,alpha,beta,gamma
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.07313411572165356,0.006742702649193036,0.0019954690388622027,0.0004915967088275966,0.00013868823735585368
0.01812860148092171,0.006364770431727682,0.003985151346370543,0.0024603124153243644,0.001757412260754668
0.01676141816171604,0.005916061614038058,0.0037320721878788534,0.002278324902838478,0.0016223179401259416
0.016874602558091874,0.0074710988581228955,0.004395910404707836,0.002229377507228739,0.001566808973929403
0.01558684241431441,0.006230963799725363,0.003656259302503378,0.0021616335097873656,0.0015600493373264096
0.016386012613417857,0.006006251477332403,0.003718252140969206,0.0022003117459539006,0.0015781811349599593
0.020821337543222514,0.009392603963978065,0.005294309995718957,0.002436009325913787,0.0016630297482455223
0.021089912791965173,0.008162516658822663,0.0049197064707857995,0.002609679270682152,0.001809193471135189
0.0197131848483269,0.007662192692362464,0.0045531649482015895,0.0024619045004079915,0.0016933129818212276
0.01953796726097947,0.00986488337825491,0.005485461804238737,0.0024873887585106285,0.001676818247750009
0.019186272114172016,0.007686816122761734,0.004331405980319547,0.0024309114588656608,0.0017407875407513588
0.022940798753711487,0.00832147808615162,0.004851143792277974,0.0026780981964601254,0.0018259812895984333
0.022826433423953792,0.008009897772115911,0.004762147704760886,0.002676101365077482,0.0018527923736751366
0.011778585174791752,0.005451681163584606,0.0035721567370864743,0.0020704319916585797,0.0014535019876174187
0.020307911269550248,0.008708848813019582,0.004918264227992975,0.0026017340333986303,0.0017839782804087516
0.023130520132914147,0.009107543601960272,0.005291888135356391,0.002779980789658929,0.001832952357588051
